seed,alg,layer,err,n
1,ADAPT,2,0.9129984507124136,4
1,ADAPT,3,0.5788607366323482,4
1,ADAPT,4,0.24828082200219237,4
1,ADAPT,5,0.24827297079753352,4
1,ADAPT,6,0.24802631606659142,4
1,ADAPT,7,0.13704775572809513,4
1,ADAPT,8,0.0057240489897987246,4
1,ADAPT,9,1.665985083310062e-5,4
1,ADAPT,10,9.577884276801285e-6,4
1,ADAPT,11,5.150607051973566e-9,4
1,ADAPT,12,1.1116827458579337e-9,4
1,ADAPT,13,5.125677660089423e-12,4
1,ADAPT,14,1.9539925233402755e-14,4
1,ADAPT,15,7.549516567451064e-15,4
1,ADAPT,16,1.554312234475219e-14,4
1,ADAPT,17,9.769962616701378e-15,4
1,ADAPT,18,2.6645352591003757e-15,4
1,ADAPT,19,1.1546319456101628e-14,4
1,ADAPT,20,4.440892098500626e-15,4
1,ADAPT,21,1.0e-15,4
1,ADAPT,22,4.884981308350689e-15,4
1,ADAPT,23,4.440892098500626e-15,4
1,ADAPT,24,7.105427357601002e-15,4
1,ADAPT,25,3.9968028886505635e-15,4
1,ADAPT,26,8.43769498715119e-15,4
1,ADAPT,27,5.329070518200751e-15,4
1,ADAPT,28,1.4210854715202004e-14,4
1,ADAPT,29,1.0658141036401503e-14,4
1,ADAPT,30,1.9539925233402755e-14,4
1,ADAPT,31,1.9539925233402755e-14,4
1,ADAPT,32,2.5757174171303632e-14,4
1,ADAPT,33,4.1744385725905886e-14,4
1,ADAPT,34,4.4853010194856324e-14,4
1,ADAPT,35,5.728750807065808e-14,4
1,ADAPT,36,6.128431095930864e-14,4
1,ADAPT,37,6.616929226765933e-14,4
1,ADAPT,38,7.72715225139109e-14,4
1,ADAPT,39,8.43769498715119e-14,4
1,ADAPT,40,8.570921750106208e-14,4
1,ADAPT,41,9.947598300641403e-14,4
1,ADAPT,42,1.0791367799356522e-13,4
1,QAOA,2,0.47710049862086645,4
1,QAOA,4,0.477100498620866,4
1,QAOA,6,0.04294214578459776,4
1,QAOA,8,0.006042660238506414,4
1,QAOA,10,0.004313999607199914,4
1,QAOA,12,0.00017030607029289158,4
1,QAOA,14,1.7971019783402653e-7,4
1,QAOA,16,3.5412294798753408e-6,4
1,QAOA,18,4.4231498996794016e-7,4
1,QAOA,20,3.2775582692323724e-8,4
1,QAOA,22,5.758446341985746e-8,4
1,QAOA,24,9.850126279076221e-7,4
1,QAOA,26,1.0565019525898833e-8,4
1,QAOA,28,5.3786253318310884e-5,4
1,QAOA,30,4.521343743846273e-9,4
1,QAOA,32,1.5236919725936104e-8,4
1,QAOA,34,4.3455487963584005e-7,4
1,QAOA,36,1.0e-15,4
1,QAOA,38,2.5980225526467393e-8,4
2,ADAPT,2,0.554693315327975,4
2,ADAPT,3,0.25444457809819276,4
2,ADAPT,4,0.042647788462437,4
2,ADAPT,5,0.04264302837772305,4
2,ADAPT,6,0.042642049102805,4
2,ADAPT,7,0.04264201145346913,4
2,ADAPT,8,0.0009620564713559432,4
2,ADAPT,9,4.92638938882628e-5,4
2,ADAPT,10,2.5323688463974037e-6,4
2,ADAPT,11,1.2998170650924123e-7,4
2,ADAPT,12,6.548184661170353e-9,4
2,ADAPT,13,3.548268345809902e-10,4
2,ADAPT,14,1.7196022383814125e-11,4
2,ADAPT,15,8.695266728864226e-13,4
2,ADAPT,16,2.042810365310288e-14,4
2,ADAPT,17,1.0e-15,4
2,ADAPT,18,7.993605777301127e-15,4
2,ADAPT,19,3.530509218307998e-14,4
2,ADAPT,20,1.199040866595169e-14,4
2,ADAPT,21,1.0e-15,4
2,ADAPT,22,1.0e-15,4
2,ADAPT,23,1.0e-15,4
2,ADAPT,24,1.0e-15,4
2,ADAPT,25,1.0e-15,4
2,ADAPT,26,1.0e-15,4
2,ADAPT,27,1.0e-15,4
2,ADAPT,28,1.0e-15,4
2,ADAPT,29,1.0e-15,4
2,ADAPT,30,1.0e-15,4
2,ADAPT,31,1.0e-15,4
2,ADAPT,32,1.0e-15,4
2,ADAPT,33,1.0e-15,4
2,ADAPT,34,1.0e-15,4
2,ADAPT,35,1.0e-15,4
2,ADAPT,36,1.0e-15,4
2,ADAPT,37,1.0e-15,4
2,ADAPT,38,1.0e-15,4
2,ADAPT,39,1.0e-15,4
2,ADAPT,40,1.0e-15,4
2,ADAPT,41,1.0e-15,4
2,ADAPT,42,1.0e-15,4
2,QAOA,2,0.5546933153279756,4
2,QAOA,4,0.11033854697010081,4
2,QAOA,6,0.06767509895318735,4
2,QAOA,8,0.05207986813189325,4
2,QAOA,10,0.03848699460983007,4
2,QAOA,12,0.04643326135675019,4
2,QAOA,14,0.04282493467826942,4
2,QAOA,16,0.03753249454638197,4
2,QAOA,18,0.013441662981128477,4
2,QAOA,20,0.017616604960964732,4
2,QAOA,22,0.005234620188298678,4
2,QAOA,24,0.0014206806190262267,4
2,QAOA,26,0.0003151972483836918,4
2,QAOA,28,1.0e-15,4
2,QAOA,30,0.0023304250011584315,4
2,QAOA,32,1.5465514759949173e-5,4
2,QAOA,34,4.218847493575595e-15,4
2,QAOA,36,1.0e-15,4
2,QAOA,38,4.440892098500626e-16,4
3,ADAPT,2,0.6537344150223791,4
3,ADAPT,3,0.29275284609991425,4
3,ADAPT,4,0.1065793237214554,4
3,ADAPT,5,0.10657301603424707,4
3,ADAPT,6,0.106572843943046,4
3,ADAPT,7,3.695202019926569e-7,4
3,ADAPT,8,1.1511135222797009e-7,4
3,ADAPT,9,3.852925201108803e-8,4
3,ADAPT,10,1.1572147684546508e-8,4
3,ADAPT,11,8.177813537457723e-9,4
3,ADAPT,12,6.456916334940388e-9,4
3,ADAPT,13,1.6640020472635797e-9,4
3,ADAPT,14,1.9418866514797628e-10,4
3,ADAPT,15,1.6250334411438416e-11,4
3,ADAPT,16,1.0e-15,4
3,ADAPT,17,9.325873406851315e-15,4
3,ADAPT,18,1.0e-15,4
3,ADAPT,19,5.329070518200751e-15,4
3,ADAPT,20,1.0e-15,4
3,ADAPT,21,1.0e-15,4
3,ADAPT,22,1.0e-15,4
3,ADAPT,23,1.0e-15,4
3,ADAPT,24,1.0e-15,4
3,ADAPT,25,1.0e-15,4
3,ADAPT,26,1.0e-15,4
3,ADAPT,27,1.0e-15,4
3,ADAPT,28,1.0e-15,4
3,ADAPT,29,1.0e-15,4
3,ADAPT,30,1.0e-15,4
3,ADAPT,31,1.0e-15,4
3,ADAPT,32,1.0e-15,4
3,ADAPT,33,1.0e-15,4
3,ADAPT,34,1.0e-15,4
3,ADAPT,35,1.0e-15,4
3,ADAPT,36,1.0e-15,4
3,ADAPT,37,1.0e-15,4
3,ADAPT,38,1.0e-15,4
3,ADAPT,39,1.0e-15,4
3,ADAPT,40,1.0e-15,4
3,ADAPT,41,1.0e-15,4
3,ADAPT,42,1.0e-15,4
3,QAOA,2,0.2230442070507237,4
3,QAOA,4,0.12945483445328643,4
3,QAOA,6,0.10408515479522862,4
3,QAOA,8,0.036962880275634324,4
