seed,alg,layer,err,n
1,ADAPT,2,0.9129984507124136,4
1,ADAPT,3,0.5788607366323468,4
1,ADAPT,4,0.24828082878453817,4
1,ADAPT,5,0.24825176335277677,4
1,ADAPT,6,0.0001916594016120321,4
1,ADAPT,7,3.6424609074270364e-5,4
1,ADAPT,8,1.3714502033579379e-5,4
1,ADAPT,9,8.257660009114431e-7,4
1,ADAPT,10,9.41844153778959e-8,4
1,ADAPT,11,3.894709976748345e-8,4
1,ADAPT,12,2.657953590556872e-8,4
1,ADAPT,13,1.6838178851230623e-8,4
1,ADAPT,14,1.509903313490213e-14,4
1,ADAPT,15,2.0872192862952943e-14,4
1,ADAPT,16,2.1760371282653068e-14,4
1,ADAPT,17,1.7319479184152442e-14,4
1,ADAPT,18,1.509903313490213e-14,4
1,ADAPT,19,1.7763568394002505e-14,4
1,ADAPT,20,1.7319479184152442e-14,4
1,ADAPT,21,1.7763568394002505e-14,4
1,ADAPT,22,1.1546319456101628e-14,4
1,QAOA,2,0.47710049862086645,4
1,QAOA,4,0.477100498620866,4
1,QAOA,6,0.04294214578459776,4
1,QAOA,8,0.006042660238506414,4
1,QAOA,10,0.004313999607199914,4
1,QAOA,12,0.00017030607029289158,4
1,QAOA,14,1.7971019783402653e-7,4
1,QAOA,16,3.5412294798753408e-6,4
1,QAOA,18,4.4231498996794016e-7,4
2,ADAPT,2,0.554693315327975,4
2,ADAPT,3,0.2544445780981932,4
2,ADAPT,4,0.04264778928673474,4
2,ADAPT,5,0.042644807112261596,4
2,ADAPT,6,0.042643818546404644,4
2,ADAPT,7,0.005170373190236166,4
2,ADAPT,8,0.0011239520493777633,4
2,ADAPT,9,0.00025405390298915975,4
2,ADAPT,10,5.7886281477959045e-5,4
2,ADAPT,11,1.3212415571839387e-5,4
2,ADAPT,12,3.0170166338550075e-6,4
2,ADAPT,13,6.889905610485414e-7,4
2,ADAPT,14,3.959277350418233e-12,4
2,ADAPT,15,1.8183232697310814e-12,4
2,ADAPT,16,1.0e-15,4
2,ADAPT,17,1.0e-15,4
2,ADAPT,18,1.0e-15,4
2,ADAPT,19,1.0e-15,4
2,ADAPT,20,1.0e-15,4
2,ADAPT,21,1.0e-15,4
2,ADAPT,22,1.0e-15,4
2,QAOA,2,0.20810978777367262,4
2,QAOA,4,0.11766624827690975,4
2,QAOA,6,0.061134566224415154,4
2,QAOA,8,0.058684732132204376,4
2,QAOA,10,0.053169777033800436,4
2,QAOA,12,0.05185147250776456,4
2,QAOA,14,0.039170558177818116,4
2,QAOA,16,0.026880613512215934,4
2,QAOA,18,0.02592563205415699,4
3,ADAPT,2,0.6537344150223791,4
3,ADAPT,3,0.29275284609991403,4
3,ADAPT,4,0.10657932524232638,4
3,ADAPT,5,0.10657301602558533,4
3,ADAPT,6,5.120362509547505e-7,4
3,ADAPT,7,3.2821546924743927e-7,4
3,ADAPT,8,2.4364731299186815e-7,4
3,ADAPT,9,1.781537117828691e-7,4
3,ADAPT,10,3.0144260421138824e-8,4
3,ADAPT,11,3.486486432890956e-9,4
3,ADAPT,12,6.926155204922679e-10,4
3,ADAPT,13,4.846476553410639e-10,4
3,ADAPT,14,4.818385690441573e-10,4
3,ADAPT,15,4.802147568483406e-10,4
3,ADAPT,16,4.786189222727444e-10,4
3,ADAPT,17,4.77026640410827e-10,4
3,ADAPT,18,4.75439021485613e-10,4
3,ADAPT,19,4.738607284338059e-10,4
3,ADAPT,20,4.722868762740973e-10,4
3,ADAPT,21,4.707190193187216e-10,4
3,ADAPT,22,4.691518284971607e-10,4
3,QAOA,2,0.2230442070507228,4
3,QAOA,4,0.11690411914163312,4
3,QAOA,6,0.10408515479522884,4
3,QAOA,8,0.0968252407074941,4
3,QAOA,10,0.07533387414110981,4
3,QAOA,12,0.023251744738602254,4
3,QAOA,14,0.0003627736608806664,4
3,QAOA,16,1.710908319019211e-6,4
3,QAOA,18,0.0005471333798150457,4
